                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.28564,                 60.841,                0.19228,                0.00033,                      1,                0.00082,                0.00049,                 1.3663,                 16.752,                 0.9001,                  8e-05,                  8e-05,                  8e-05
                      2,                0.28293,                 61.469,                0.20541,                0.00033,                      1,                0.00638,                0.00276,                 1.5149,                 12.522,                0.94173,             0.00017406,             0.00017406,             0.00017406
                      3,                0.26799,                 57.627,                0.17951,                0.00033,                      1,                0.00113,                0.00067,                 1.7542,                 11.733,                 1.1456,             0.00026152,             0.00026152,             0.00026152
                      4,                0.64826,                 42.777,                0.35328,                0.00033,                      1,                0.00114,                0.00069,                 1.6385,                 13.606,                 1.0992,             0.00034238,             0.00034238,             0.00034238
                      5,                      0,                 64.431,                      0,                0.00033,                      1,                0.00116,                0.00081,                 1.5682,                  19.59,                 1.0324,             0.00041664,             0.00041664,             0.00041664
                      6,                0.31142,                 50.113,                0.22256,                0.00033,                      1,                0.00076,                0.00053,                 1.5502,                 18.822,                 0.9924,              0.0004843,              0.0004843,              0.0004843
                      7,                0.34659,                 47.097,                0.21415,                0.00033,                      1,                0.00076,                0.00053,                 1.4216,                 13.818,                0.99257,             0.00054536,             0.00054536,             0.00054536
                      8,                0.19719,                 45.823,                0.17017,                0.00033,                      1,                0.00076,                0.00053,                 1.4908,                 12.751,                 1.0075,             0.00059982,             0.00059982,             0.00059982
                      9,                 1.1771,                  43.73,                0.62359,                0.00033,                      1,                0.00076,                0.00053,                 1.8333,                 17.045,                 1.1935,             0.00064768,             0.00064768,             0.00064768
                     10,                      0,                 50.538,                      0,                0.00033,                      1,                0.00076,                0.00053,                  2.607,                 18.693,                 1.3936,             0.00068894,             0.00068894,             0.00068894
                     11,                0.85961,                 34.608,                0.42999,                0.00033,                      1,                0.00076,                0.00053,                 3.2018,                 28.052,                 1.5884,              0.0007236,              0.0007236,              0.0007236
                     12,                0.38833,                 40.587,                0.22608,                0.00033,                      1,                0.00076,                0.00053,                 3.6279,                 39.419,                 1.8435,             0.00075166,             0.00075166,             0.00075166
                     13,                0.92626,                 41.897,                0.53234,                0.00033,                      1,                0.00076,                0.00053,                 3.7754,                 34.965,                 1.8245,             0.00077312,             0.00077312,             0.00077312
                     14,                0.47514,                 40.368,                0.20567,                0.00033,                      1,                0.00076,                0.00053,                 2.2305,                 23.421,                 1.5656,             0.00078798,             0.00078798,             0.00078798
                     15,                0.47967,                 39.567,                0.22558,                0.00033,                      1,                0.00076,                0.00053,                 2.6553,                 16.008,                 1.4757,             0.00079624,             0.00079624,             0.00079624
                     16,                      0,                 43.297,                      0,                0.00033,                      1,                0.00076,                0.00053,                 2.1334,                 18.321,                 1.5879,              0.0007979,              0.0007979,              0.0007979
                     17,                      0,                 43.064,                      0,                0.00033,                      1,                0.00076,                0.00053,                 4.5961,                 30.458,                 2.5622,             0.00079296,             0.00079296,             0.00079296
                     18,                 0.6833,                 37.734,                 0.2887,                0.00033,                      1,                0.00076,                0.00053,                 3.1151,                 27.605,                 1.6405,             0.00078142,             0.00078142,             0.00078142
                     19,                0.46485,                 36.655,                0.23478,                0.00033,                      1,                0.00076,                0.00053,                 3.6599,                 18.966,                  1.759,             0.00076328,             0.00076328,             0.00076328
                     20,                0.53824,                 35.328,                0.27848,                0.00033,                      1,                0.00076,                0.00053,                 2.5866,                 13.889,                 1.4537,             0.00073854,             0.00073854,             0.00073854
                     21,                0.48846,                 35.257,                0.24097,                0.00033,                      1,                0.00076,                0.00053,                 2.8093,                 10.589,                 1.5279,                0.00068,                0.00068,                0.00068
                     22,                0.38109,                 33.715,                0.22923,                0.00033,                      1,                0.00076,                0.00053,                 2.5957,                 10.584,                 1.5168,                0.00068,                0.00068,                0.00068
                     23,                0.37334,                 33.137,                0.22868,                0.00033,                      1,                0.00076,                0.00053,                 2.2296,                 10.374,                 1.3158,               0.000614,               0.000614,               0.000614
                     24,                0.53112,                 34.147,                0.23648,                0.00033,                      1,                0.00066,                0.00033,                 2.1127,                 9.7565,                 1.4092,               0.000548,               0.000548,               0.000548
                     25,                0.35072,                 31.904,                0.23549,                0.00033,                      1,                0.00067,                0.00033,                 2.2291,                 10.396,                 1.4776,               0.000482,               0.000482,               0.000482
                     26,                0.34176,                 31.897,                 0.2202,                0.00033,                      1,                0.00066,                0.00033,                 2.1452,                 10.445,                  1.453,               0.000416,               0.000416,               0.000416
                     27,                0.61696,                 35.192,                0.21711,                0.00033,                      1,                0.00063,                0.00032,                 2.0466,                 10.512,                 1.4154,                0.00035,                0.00035,                0.00035
                     28,                0.22257,                 31.209,                0.18595,                0.00033,                      1,                0.00063,                0.00032,                 1.8862,                 9.7687,                 1.2553,               0.000284,               0.000284,               0.000284
                     29,                0.49676,                 31.665,                0.20653,                0.00033,                      1,                0.00063,                0.00032,                 1.7704,                 9.9046,                 1.1995,               0.000218,               0.000218,               0.000218
                     30,                0.37767,                 31.136,                0.24774,                0.00033,                      1,                0.00063,                0.00032,                  1.721,                 10.492,                 1.1831,               0.000152,               0.000152,               0.000152
